type,key,value,label,url,icon,category,priority,is_active,is_featured,description,start_date,end_date
meta,brandName,OpenFooter Demo,,,,,,,,,,
meta,brandTagline,"Unified footers for every project",,,,,,,,,,
meta,brandMessage,"A lightweight, open-source footer component for sharing your socials, projects, contact links, and brand profile across multiple websites.",,,,,,,,,,
meta,brandImageUrl,https://placehold.co/96x96?text=OF,,,,,,,,,,
meta,brandImageAlt,OpenFooter demo logo,,,,,,,,,,
meta,brandImageShape,rounded,,,,,,,,,,
meta,copyrightName,OpenFooter Demo,,,,,,,,,,
meta,theme,dark,,,,,,,,,,
meta,layout,columns-brand,,,,,,,,,,
social,,,GitHub,https://github.com/prlaclede/OpenFooter,github,Developer,1,true,false,Open-source project repository,,
social,,,YouTube,https://youtube.com/@yourhandle,youtube,Social,2,true,false,Main YouTube channel,,
social,,,Instagram,https://instagram.com/yourhandle,instagram,Social,3,true,false,Photos and reels,,
project,,,Main Website,https://example.com,link,Projects,10,true,true,Primary website,,
project,,,Newsletter,https://example.com/newsletter,mail,Projects,11,true,false,Subscribe for updates,,
contact,,,Email,mailto:hello@example.com,mail,Contact,20,true,false,Contact email,,
legal,,,Privacy Policy,https://example.com/privacy,shield,Legal,90,true,false,Privacy policy,,
legal,,,Terms,https://example.com/terms,file-text,Legal,91,true,false,Terms of service,,
